Article.ID,data column,data,notes,,,
4,Lead.Author ,Kunert,,,,
4,Year,2015,,,,
4,Journal,AFM,,,,
4,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",ecophysiology,,,,
4,focal.subject.of.research,plant,,,,
4,biome,tropical.rainforest,,,,
4,ecosystem,tropical.lowland.forest,,,,
4,Country,Brazil,,,,
4,state,Amazonas,,,,
4,Municipality,Manaus,,,,
4,field station,Brazilian.National.Institute.for.Research.in.the.Amazon,,,,
4,Latitude,02°38’22.54''S,,,,
4,Longitude,60°09’51.34''W,,,,
4,habitat.1,forest.edge,,,,
4,habitat.2,NA,,,,
4,replicates.habitat.1,1,,,,
4,replicates.habitat.2,NA,,,,
4,sampling.dist.hab.1,plot,starting.at.the.forest.edge.and.ending.in.the.middle.of.a.one.hectare.monitoring.plot,,,
4,sampling.dist.hab.2,NA,,,,
4,reps.per.dist.1,5,10m.50m.100m.250m,,,
4,reps.per.dist.2,NA,,,,
4,dist.btwn.pts.1,NA,,,,
4,dist.btwn.pts.2,NA,,,,
4,layout,parallel,,,,
4,var.1,AT,air.temperature,,,
4,var.2,RH,relative.humidity,,,
4,var.3,PT,precipitation,,,
4,var.4,PPFD,,,,
4,var.5,VPD,,,,
4,equip.var.1,thermohygrometer,Voltcraft.DL121TH.Conrad.Electronic,,,
4,equip.var.2,thermohygrometer,Voltcraft.DL121TH.Conrad.Electronic,,,
4,equip.var.3,weather.station,PCE-FWS.20.PCE.Inst,,,
4,equip.var.4,quantum.sensor,LI-190A.Licor,,,
4,equip.var.5,NA,,,,
4,start.date,2013-02-01,YYY-MM-DDThh:mm:ss. ,,,
4,end.date,2013-12-01,YYY-MM-DDThh:mm:ss. ,,,
4,time.var.1,half.hourly.intervals,,,,
4,time.var.2,half.hourly.intervals,,,,
4,time.var.3,half.hourly.intervals,,,,
4,time.var.4,NA,,,,
4,time.var.5,NA,,,,
4,comparisons,Effects.of.a.road.on.the.microclimate.within.an.adjacent;old.growth.forest,,,,
4,comparisons,how.tree.transpiration.rates.differ.with.distance.to.the.road,,,,
4,comparisons,if.there.are.variations.in.the.intensity.of.edge.effects.between.the.dry.and.wet.seasons,,,,
4,statistical analysis?,Y,,,,
4,statistica methods,paired.student's.t.test,,,,
4,significant differences observed (Y/N),N,,,,
4,summary of results,There.are.significant.EE.on.RH.but.AT.wasnt.affected,,,,
4,summary of results,Small.temperature.variation,,,,
4,summary of results,effect.in.RH.extended.100m.into.the.forest,,,,
4,summary of results,Roads.form.strong.contrasting.edges.,,,,
4,summary of results,NA,,,,
4,data archived? Y/N,NA,,,,
4,data archive ,N,,,,
4,accession number,NA,,,,
4,was cited before,Y,,,,
4,citations,5,,,,
