Article.ID,data column,data,notes,
6,Lead.Author ,Rajpar,,
6,Year,2015,,
6,Journal,JAP,The.journal.of.animal.and.plant.sciences,
6,"focal area of research (ecophysiology, population ecology, community ecology ecosystem ecology, animal behavior)",community.ecology,,
6,focal.subject.of.research,bird,,
6,biome,NA,,
6,ecosystem,NA,,
6,Country,Malaysia,,
6,state,NA,,
6,Municipality,NA,,
6,field station,NA,,
6,Latitude,2°50’.to.3°00’,,
6,Longitude,101°10’.to.101°50’,,
6,habitat.1,shrub.area,,
6,habitat.2,open.area,,
6,replicates.habitat.1,NA,,
6,replicates.habitat.2,NA,,
6,sampling.dist.hab1,NA,,
6,sampling.dist.hab2,NA,,
6,reps.per.dist.1,NA,,
6,reps.per.dist.2,NA,,
6,dist.btwn.pts.1,NA,,
6,dist.btwn.pts.2,NA,,
6,layout,random.point,,
6,var.1,AT,air.temperature,
6,var.2,RH,relative.humidity,
6,var.3,LI,light.intensity,
6,equip.var.1,Psychrometer,,
6,equip.var.2,Psychrometer,,
6,equip.var.3,LUX.meter,,
6,start.date,NA,,
6,end.date,NA,,
6,time.var.1,NA,,
6,time.var.2,NA,,
6,time.var.3,NA,,
6,comparisons,MicroclimateXCharacteristics.of.the.open.area.habitat,,
6,comparisons,MicroclimateXCharacteristics.of.the.shrub.habitat,,
6,comparisons,Correlation.of.Birds.with.microclimate.and.the.open.area.habitat,,
6,comparisons,Correlation.of.Birds.with.microclimate.and.shrub.habitat,,
6,statistical analysis?,Y,,
6,statistica methods,CCA,Canonical.Correspondence.Analysis.Software,
6,statistica methods,RDA,redundancy.ordination,
6,significant differences observed (Y/N),Y,,
6,summary of results,birds.species.in.the.open.area.were.strongly.associated.with.the.microclimatic.factor,,
6,summary of results,birds.distribution.was.influenced.by.temp.RH.and.LI,,
6,data archived? Y/N,N,,
6,data archive ,N,,
6,accession number,N,,
6,was cited before,N,,
6,citations,0,,
